col1,特征1,特征2,特征3,特征4,特征5,特征6,特征7,特征8,特征9,特征10,特征11,特征12,特征13,特征14,特征15,特征16,特征17,特征18,特征19,特征20,特征21,特征22,特征23,特征24,特征25,特征26,特征27,特征28,特征29,特征30,特征31,特征32,特征33,特征34,特征35,特征36,特征37,特征38,特征39,特征40,特征41,特征42,特征43
249,265.0133,359.675,372.0309,345.0993,351.3185,381.81,369.2585,383.0285,375.5471,386.49,392.9885,395.2778,167.1084,381.7615,381.2519,384.4941,387.7959,239.3602,2.745832,180.1544,28.93297,80.57832,76809.91,32.42698,239.8879,22.92528,0.03803133,101.9422,2.490089,314.8,155.2733,189.4,6.374014,26.58502,203.2691,62.01006,221.3617,202.3,203.6,0.9887114,32.9953,61.67839,44.45006
238,266.9747,359.45,373.1,344.82,350.3888,380.7112,369.2288,383.5218,376.3858,387.18,393.7294,396.7782,170.61,382.6988,382.2188,385.3876,388.3124,238.3187,2.745513,175.4136,29.07476,84.05198,75317.84,31.93045,239.2352,24.34567,0.04098627,100.4851,2.501278,312.6,154.2739,183.5,8.882453,28.29937,203.4,60.02927,216.0373,197.9313,199.2687,0.98825,32.74227,60.75253,47.52931
246,266.0112,358.7,375.1,345.4598,351.1004,379.62,369.2302,383.2904,376.838,387.8908,394.4602,396.8198,174.7145,383.1906,382.372,385.4798,388.8116,240.2215,2.748388,178.7481,29.01001,84.24108,74925.56,32.96188,239.0659,23.87249,0.04172,103.8213,2.501678,313.3,153.4382,185.1,0.6266133,29.60346,202.6327,60.00927,221.2347,200.2327,200.8,0.98825,32.92562,60.91163,47.66414
254,264.9555,360.5,373.7402,345.4738,351.2821,381.0059,369.27,382.98,376.9983,387.4741,393.78,396.54,171.7698,383.0279,382.4934,385.3259,388.4762,236.8954,2.748963,179.3994,28.94259,84.46223,75424.05,31.94773,238.3025,25.1155,0.04094,103.6945,2.495199,312.4595,152.5295,187,0.6387135,28.47783,203.9405,59.97,217,201.3,201.9,0.984875,32.78512,60.09538,47.31376
254,265.5532,360.725,373.8,346.02,351.9396,382.2,368.8914,382.23,376.0788,387.33,393.69,396.57,167.499,383.52,382.509,385.8192,388.8384,231.894,2.748944,179.84,28.96632,85.18302,75744.36,32.71893,238.8638,24.84023,0.0410936,104.6831,2.50051,312.8,153.9358,186.6,0.73336,28.51885,202.934,60.0238,221.136,201.2,201.734,0.9825,33.026,60.4298,46.546
248,265.7786,360.126,373.7,345.8908,351.6796,381.7108,368.7344,382.02,376.0776,387.12,393.1904,396.4408,167.7567,382.8992,382.83,385.7608,388.7219,230.253,2.752424,175.0237,29.05371,87.83173,76349.6,32.39739,237.1479,26.2665,0.04126759,103.1071,2.486489,310.6,150.8289,185.7,8.852695,29.26428,203.1636,60.06326,215.4,199.7,200.5364,0.987625,32.67861,59.77378,47.8713
250,264.8031,360.3,374.3,345.42,351.33,381.5012,368.8588,382.2988,375.7976,387.2506,393.9,396.63,164.4687,383.2888,382.0324,385.6518,388.8564,227.7442,2.751495,175.2369,29.21033,85.19446,75663.04,32.1214,235.9326,25.94131,0.04064,101.6893,2.505795,311.7,152.1134,181.5,7.804933,29.18046,202.8647,59.96324,209.3,198.3,199.2,0.9860442,32.81437,59.36087,48.19975
254,265.0447,358.184,375.836,345.48,350.9316,379.8384,369.36,383.7984,376.5276,387.9384,394.8,397.3584,162.305,383.37,382.5888,385.4484,388.4364,227.782,2.747888,173.1665,29.03563,87.12834,76434.24,33.39266,234.994,25.80165,0.042364,105.6224,2.49016,311.1,151.5739,189.1,8.85904,29.20832,203.1,61.0474,219.048,203.2,203.6,0.985,32.51488,59.9546,48.16986
272,265.2016,360.4651,375.679,345.81,351.6956,384.2581,369.0434,383.4118,376.3066,387.0963,394.5237,397.59,164.3842,383.7055,382.7037,385.68,388.7637,233.933,2.750684,177.358,29.10315,84.82513,76563.94,33.12695,237.0208,24.41512,0.0397961,105.5613,2.487917,312.9,152.1893,190.3,10.04984,28.73439,203.3395,62.10091,223.279,204.8,205.6,0.984375,32.65414,60.21494,46.97862
259,265.3766,357.8285,372.362,344.7486,350.19,380.3172,368.6856,383.1072,376.7928,387.3672,393.3486,396.6114,170.874,383.4858,383.5344,386.3472,388.9914,232.267,2.749532,177.8613,29.06883,85.72564,75975.24,33.49663,236.4568,24.32403,0.0414668,107.2848,2.501275,311.8,152.2152,193.6,7.73056,27.73606,203.7,60.9991,227.962,206.2,206.1,0.9844525,32.61704,60.7571,45.72771
